formula,nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill
Th3B2C3,3,1.1333333333333333,1.1712500000000001,0.4720404879056692,0.4875817239191806,1.03,0.4675,1.0172720261687684,0.9694326959425701,84.95333333333333,94.221125,104.00571899766966,106.75350402145767,221.227,84.31150000000001,0.36343450730642335,0.32071249064401564,3.666666666666666,3.75,0.4714045207910317,0.4330127018922193,1,0.75,1.0900596587107838,1.0549201679861442,1.9633333333333334,1.9537499999999999,0.5131817958146562,0.543551687974566,1.2499999999999998,0.4687499999999999,1.0631491695279118,1.0466852681742356,8.621666666666666,8.662125,2.0352081504248054,2.155249255161686,4.953600000000001,2.1481125000000003,1.0708855849588979,1.0469873332033433,5,0.75,0.2,9.0
Y20Si12C,3,1.25,1.5457575757575759,0.42833009077890694,0.3345103187522006,1.04,1.0736363636363635,1.0400584779352493,0.6617783821987799,43.001000000000005,64.45948484848483,33.11649312150468,30.44112570303458,76.89500000000001,53.51845454545455,0.8095081375586641,0.470961113821155,3.666666666666666,3.3939393939393936,0.4714045207910317,0.4886216817150636,1,1.6969696969696972,1.0900596587107838,0.8165033382470198,1.8900000000000001,1.5075757575757573,0.5430162674051917,0.3728923014802182,1.3299999999999998,0.6621212121212121,1.0563251852386015,0.8592716351848878,8.543099999999999,7.073536363636364,2.0773152095914575,1.182460786413215,5.043000000000001,3.4268393939393937,1.0692881046297074,0.8462078290731416,3,0.6060606060606061,0.17857142857142858,16.363636363636363
Er20Si12C,3,1.2333333333333332,1.5154545454545456,0.4066393433443886,0.31061123425107345,0.99,1.0433333333333332,1.0441717867712814,0.6680719509259067,69.11866666666666,111.9461515151515,69.70530910594654,68.65980227624753,155.248,101.00512121212121,0.6091271514597182,0.32693951685501743,7.333333333333333,10.06060606060606,4.714045207910317,4.886216817150636,10,8.363636363636363,0.9075352941050092,0.4765087193518856,1.8966666666666665,1.5196969696969695,0.5348104544810452,0.36355554657488404,1.3099999999999998,0.6742424242424243,1.0579899387644407,0.8580673502121203,8.506566666666668,7.0071121212121215,2.118453752674866,1.2307847626511665,5.1526000000000005,3.3604151515151517,1.0677684710335278,0.8482198758496731,4,0,0.0,0
B2CN,3,0.7666666666666666,0.7825,0.053124591501697425,0.053560713214071375,0.13,0.24,1.0962034181696891,1.0163065218712237,12.276333333333334,11.909999999999998,1.3181819129223233,1.30606393411655,3.1959999999999997,2.40275,1.092891909397045,1.06582886063967,4.0,3.75,0.816496580927726,0.82915619758885,2,0.5,1.0775563270668007,1.0851886129676505,2.5433333333333334,2.4175,0.40827550610940266,0.41535376488001163,1.0,0.38250000000000006,1.0856261780903413,1.0793736429199046,11.364133333333335,10.5976,2.5469356520249105,2.5744671225323508,6.2361,1.3339249999999998,1.073291131879035,1.0862792401920136,0,0,0.0,0
Li2B2C,3,1.04,1.0939999999999999,0.34029399054347115,0.3485168575549826,0.75,0.45400000000000007,1.0479178445451063,0.9643401889349406,9.921,9.503,2.163376989800899,2.1372636711458886,5.069999999999999,1.9221999999999997,1.0735633820397747,1.065404128989082,2.6666666666666665,2.4000000000000004,1.247219128924647,1.2000000000000002,3,0.8000000000000002,0.9743147528693494,1.0114042647073518,1.856666666666667,1.7180000000000002,0.6539283005209532,0.6306948549021151,1.5699999999999998,0.42400000000000004,1.0312806875586398,1.051310616534339,8.316666666666666,7.72794,2.3958822763696515,2.1928765880459395,5.868600000000001,1.1625200000000002,1.056259470475326,1.07847779051547,0,0,0.0,0
DyCoC,3,1.2633333333333332,1.2633333333333332,0.4083571421630281,0.4083571421630281,1.0,0.3333333333333333,1.045212359934434,1.045212359934434,77.81466666666665,77.81466666666665,62.87088771089172,62.87088771089172,150.489,50.163,0.7523418772277878,0.7523418772277878,8.333333333333334,8.333333333333334,3.2998316455372216,3.2998316455372216,8,2.666666666666667,1.0133126873497391,1.0133126873497391,1.8833333333333333,1.8833333333333333,0.542975342186201,0.542975342186201,1.3299999999999998,0.44333333333333325,1.0561817302882348,1.0561817302882348,8.360066666666668,8.360066666666668,2.198704640363402,2.1987046403634016,5.321400000000001,1.7738000000000003,1.0644150072846865,1.0644150072846865,4,2.3333333333333335,0.27999999999999997,2.0
TmCoC,3,1.2566666666666666,1.2566666666666666,0.4001110956832975,0.4001110956832975,0.98,0.3266666666666666,1.04670200420627,1.04670200420627,79.95933333333332,79.95933333333332,65.76618686596395,65.76618686596395,156.923,52.30766666666666,0.7417213801255013,0.7417213801255013,9.333333333333334,9.333333333333334,4.4969125210773475,4.496912521077347,11,3.666666666666667,0.9771705224238221,0.9771705224238221,1.893333333333333,1.893333333333333,0.530806514236172,0.530806514236172,1.2999999999999998,0.43333333333333324,1.0586486895130234,1.0586486895130234,8.441866666666668,8.441866666666668,2.1098771786264927,2.1098771786264927,5.0760000000000005,1.6920000000000002,1.067909484615594,1.067909484615594,4,2.3333333333333335,0.25,2.0
Al3Ni9C,3,1.15,1.2546153846153847,0.27856776554368234,0.15867797019388694,0.6599999999999999,0.8061538461538462,1.0676052379800902,0.7515968922156254,32.562,47.78415384615384,19.462007107867027,16.7537221345272,46.682,39.70969230769231,0.919163813292553,0.4796831996490502,5.666666666666667,7.923076923076923,3.0912061651652345,3.1246301556292155,7,6.615384615384616,0.9586918593253719,0.4570292894895446,2.0233333333333334,1.89,0.39203174474637736,0.22776506114178935,0.9399999999999997,1.126153846153846,1.080172066949443,0.8048008417996858,8.295300000000001,7.536607692307692,2.2026268786761567,1.276314880645138,5.274500000000001,4.422915384615385,1.0640935249159997,0.8081442876609637,2,5.538461538461538,0.6990291262135921,2.769230769230769
Sc5Ir15C4,3,1.2466666666666668,1.3137500000000002,0.3521678892548585,0.2624851186257995,0.8400000000000001,0.7216666666666668,1.056073485368181,0.8574933754892857,83.06133333333332,131.50329166666668,78.3477841862097,79.01954274074609,180.20600000000002,118.13379166666667,0.655348580945772,0.33446562122287654,5.333333333333333,6.916666666666667,2.6246692913372702,2.706730294818619,6,5.0,0.9840865030829147,0.6108175012387262,2.0366666666666666,2.0833333333333335,0.49935513971076284,0.3921805139926709,1.1899999999999997,1.0916666666666666,1.0669114785283527,0.8698594446643029,8.9296,8.848070833333335,1.9184593523623765,1.4380193451640255,4.698800000000001,4.237395833333333,1.0752095465414246,0.9066826584028111,4,4.583333333333333,0.29255319148936165,5.625
LaNdC4,3,1.44,1.105,0.4751841748206689,0.47447339229929425,1.05,0.22499999999999998,1.0380513281079387,1.0616024471210759,98.386,55.1985,61.11519920608948,61.095776803720234,132.231,16.032999999999998,0.8349119738456601,1.0064956266438387,4.333333333333333,4.166666666666666,1.247219128924647,0.8975274678557507,3,2.1666666666666665,1.0579054247036734,0.8825632953798344,1.5966666666666667,2.0733333333333333,0.6743062278289359,0.6742073535312081,1.4499999999999997,1.5166666666666664,1.0151209160548882,0.5962733442331913,7.454066666666667,9.357183333333333,2.691496800832,2.6914551011281778,5.7353000000000005,6.586033333333334,1.0372353454931733,0.6343202478879818,4,0.16666666666666666,0.04,4.5
