formula,pressure,nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill,Tc
Hg0.66Pb0.34Ba2Ca1.98Cu2.9O8.4,0,6,1.571666667,1.176142506,0.494213741,0.592900553,1.51,0.303992629,1.735947192,1.605153794,110.79,53.77892138,75.58731885,54.76475836,191.201,12.54336609,1.53414638,1.685377325,6.166666667,6.114250614,4.017323598,3.145601565,10,3.012285012,1.576754378,1.226764634,1.926666667,2.474090909,0.855602452,1.059337142,2.55,1.726277641,1.692966385,0.985620268,8.4206,10.36465381,2.834100524,3.5133189,8.4064,6.871643857,1.737858158,1.086012904,4,2.395577396,0.333504361,0,143
Hg0.75Ba2.07Ca2.07Cu3.11O8.208,0,5,1.536,1.18261846,0.534288312,0.593202803,1.51,0.260197433,1.542443695,1.526312819,91.508,52.23461883,68.0099859,51.49322748,184.591,12.42012771,1.327462877,1.529739762,6.6,6.215325765,4.270831301,3.240889283,10,2.783070089,1.38381443,1.194758037,1.846,2.440573791,0.916200851,1.069107558,2.55,1.64952616,1.49091804,0.9459682,8.62138,10.30831298,3.065399694,3.520317314,8.4064,6.413452604,1.54798509,1.06357448,4,2.38153998,0.347003722,0,135.8
Hg0.75Ba2.07Ca2.07Cu3.11O8.187,0,5,1.536,1.183296472,0.534288312,0.593288533,1.51,0.259678755,1.542443695,1.526502225,91.508,52.28162865,68.0099859,51.51006498,184.591,12.43624081,1.327462877,1.529606782,6.6,6.215605115,4.270831301,3.242981579,10,2.778896645,1.38381443,1.195357215,1.846,2.439277198,0.916200851,1.069194223,2.55,1.647203311,1.49091804,0.947081394,8.62138,10.30401907,3.065399694,3.520579647,8.4064,6.404105745,1.54798509,1.06470818,4,2.384629641,0.347397221,0,135.4
Hg1Ba2Ca2Cu3O8.29,0,5,1.536,1.178109269,0.534288312,0.589261264,1.51,0.237655003,1.542443695,1.548078172,91.508,53.93920872,68.0099859,54.28691615,184.591,11.93971762,1.327462877,1.536082089,6.6,6.306936771,4.270831301,3.263215715,10,2.807857581,1.38381443,1.219522085,1.846,2.455346839,0.916200851,1.06009611,2.55,1.641350522,1.49091804,0.956944341,8.62138,10.38431854,3.065399694,3.485343011,8.4064,6.290402026,1.54798509,1.075710377,4,2.455494168,0.342641768,0,135
Hg1Ba2Ca2Cu3O8.27,0,5,1.536,1.178746159,0.534288312,0.589343098,1.51,0.237135833,1.542443695,1.548279348,91.508,53.98584696,68.0099859,54.30396236,184.591,11.95439459,1.327462877,1.535952481,6.6,6.307314075,4.270831301,3.265203008,10,2.80393362,1.38381443,1.220099174,1.846,2.454136447,0.916200851,1.060184854,2.55,1.639139521,1.49091804,0.958009713,8.62138,10.38034339,3.065399694,3.485638805,8.4064,6.281394407,1.54798509,1.076792338,4,2.4585126,0.342994341,0,135
Hg0.75Ba2.07Ca2.07Cu3.11O8.15,0,5,1.536,1.184495356,0.534288312,0.593438197,1.51,0.25876161,1.542443695,1.526833359,91.508,52.36475294,68.0099859,51.53971919,184.591,12.46473251,1.327462877,1.52937013,6.6,6.216099071,4.270831301,3.246677885,10,2.771517028,1.38381443,1.196412558,1.846,2.43698452,0.916200851,1.069343601,2.55,1.643095975,1.49091804,0.949049391,8.62138,10.29642644,3.065399694,3.521030649,8.4064,6.387578328,1.54798509,1.066711577,4,2.390092879,0.348092704,0,134.7
Hg0.75Ba2.07Ca2.07Cu3.11O8.16,0,5,1.536,1.184170792,0.534288312,0.593397923,1.51,0.259009901,1.542443695,1.52674419,91.508,52.34224938,68.0099859,51.53170607,184.591,12.45701918,1.327462877,1.529434387,6.6,6.215965347,4.270831301,3.245677637,10,2.773514851,1.38381443,1.196127377,1.846,2.437605198,0.916200851,1.069303648,2.55,1.644207921,1.49091804,0.948516661,8.62138,10.29848193,3.065399694,3.520910175,8.4064,6.392052661,1.54798509,1.066169371,4,2.388613861,0.347904461,0,134.2
Hg1Ba2Ca2Cu3O8.35,0,5,1.536,1.176207951,0.534288312,0.5890128,1.51,0.239204893,1.542443695,1.547469213,91.508,53.79997859,68.0099859,54.23575727,184.591,11.89590214,1.327462877,1.536465885,6.6,6.305810398,4.270831301,3.257275536,10,2.819571865,1.38381443,1.217790208,1.846,2.458960245,0.916200851,1.059822913,2.55,1.64795107,1.49091804,0.953763014,8.62138,10.39618563,3.065399694,3.484432843,8.4064,6.317292661,1.54798509,1.072477604,4,2.44648318,0.341588386,0,134
Hg1Ba2Ca2Cu3O8.3,0,5,1.536,1.177791411,0.534288312,0.589220161,1.51,0.23791411,1.542443695,1.547977243,91.508,53.91593252,68.0099859,54.27839173,184.591,11.93239264,1.327462877,1.536146578,6.6,6.306748466,4.270831301,3.262223429,10,2.809815951,1.38381443,1.219233501,1.846,2.45595092,0.916200851,1.0600513,2.55,1.642453988,1.49091804,0.956412582,8.62138,10.38630245,3.065399694,3.48519368,8.4064,6.294897546,1.54798509,1.075170218,4,2.45398773,0.342465753,0,133.5
Hg0.75Ba2.07Ca2.07Cu3.11O8.223,0,5,1.536,1.18213524,0.534288312,0.593141222,1.51,0.260567096,1.542443695,1.526176885,91.508,52.2011149,68.0099859,51.48119782,184.591,12.4086439,1.327462877,1.529834158,6.6,6.215126672,4.270831301,3.239397263,10,2.786044505,1.38381443,1.194329968,1.846,2.441497873,0.916200851,1.069044828,2.55,1.651181656,1.49091804,0.945174729,8.62138,10.31137325,3.065399694,3.52012714,8.4064,6.420114116,1.54798509,1.06276618,4,2.379337977,0.346723196,0,133.4
Hg1Ba2Ca2Cu3O8.41,0,5,1.536,1.174320536,0.534288312,0.588759977,1.51,0.240743449,1.542443695,1.546852223,91.508,53.66176661,68.0099859,54.18457088,184.591,11.85240707,1.327462877,1.5368422,6.6,6.304692261,4.270831301,3.251367674,10,2.831200488,1.38381443,1.216057531,1.846,2.462547227,0.916200851,1.059539456,2.55,1.654503352,1.49091804,0.950603704,8.62138,10.40796594,3.065399694,3.483489111,8.4064,6.343986654,1.54798509,1.069264383,4,2.437538087,0.340541461,0,133
Hg0.85Re0.15Ba2Ca2Cu3O8,0,6,1.508333333,1.18534375,0.491644067,0.589305635,1.51,0.31715625,1.734044177,1.581297817,107.2911667,54.49203437,71.41433261,54.18929341,184.591,15.42018438,1.544970901,1.626742658,6.666666667,6.265625,3.901566637,3.246354626,10,2.934375,1.605373345,1.255723551,1.855,2.4365625,0.836615204,1.061694134,2.55,1.7021875,1.693413627,0.992815365,8.490066667,10.30129375,2.813677077,3.497475169,8.4064,6.735610938,1.739145818,1.109609338,4,2.453125,0.343544858,0.1875,132.9
