formula,Tc
B2Mg0.988Sc0.012,41.4
Mg1B2,39
Mg0.7Be0.3B2,39
Mg0.98Sc0.02B2,39
Mg0.9Cu0.1B2,38.6
Mg0.99Ti0.01B2,38.6
Mg0.8Cu0.2B2,38.6
Mg1B1.9906C0.0094,38.5
Mg0.95Zn0.025Al0.025B2,38.5
Mg0.95Ti0.05B2,38.5
Mg0.9Zn0.05Al0.05B2,38.5
Mg0.9Zn0.1B2,38.4
Mg0.8Zn0.2B2,38.4
B2Mg0.98,38.4
Mg1B1.92C0.08,38.3
Mg0.95Zn0.05B2,38.3
Mg0.9Ti0.1B2,38.3
Mg0.95Li0.05B2,38.25
B2Mg0.9,38.2
Mg0.95Li0.025Al0.025B2,38.2
Mg0.996Cu0.004B2,38.11
Mg0.989Cu0.011B2,38.05
Mg0.93Na0.07B2,38
Mg0.97Na0.03B2,38
Mg0.8Na0.2B2,38
Mg0.85Na0.15B2,38
Mg0.92Li0.08B2,38
B2Mg0.8,38
Mg0.99Al0.01B2,37.95
Mg0.93Li0.07B2,37.8
Mg0.9Li0.05Al0.05B2,37.8
Mg0.8Ti0.2B2,37.8
Mg0.997Fe0.003B2,37.8
Mg0.982Cu0.018B2,37.8
Mg0.95Cu0.05B2,37.75
Mg1B1.958C0.042,37.7
Mg1.995Mn0.005B2,37.7
Mg0.95Zr0.05B2,37.7
Mg1.99Mn0.01B2,37.6
Mg0.4Ti0.6B2,37.6
Mg0.97Cu0.03B2,37.58
Mg1B1.98C0.02,37.533333
Mg0.6Ti0.4B2,37.5
Mg1.985Mn0.015B2,37.4
Mg0.98Co0.02B2,37.4
Mg0.9Zr0.1B2,37.3
Mg0.8Zr0.2B2,37.3
Mg1.9Cu0.1B12,37.3
Mg0.97Al0.03B2,37.3
B2Mg0.7,37.2
Mg0.99Co0.01B2,37.1
Mg0.9Al0.05Li0.05B2,37.1
Mg0.94Al0.06B2,37
Mg0.95Al0.025Li0.025B2,37
Mg1B1.938C0.062,37
Mg1B1.968C0.032,37
Mg0.9Li0.1B2,36.916667
Mg1.98Mn0.02B2,36.9
B2Mg0.6,36.9
Mg0.98Al0.02B2,36.7
Mg0.99Cr0.01B2,36.7
Mg0.85Li0.15B2,36.6
C0.9S0.1,36.5
Mg1.8Cu0.2B12,36.5
Mg0.95Al0.05B2,36.466667
Mg1B1.96C0.04,36.25
Mg0.97Co0.03B2,36.2
B2Mg0.5,36
Mg1B1.95C0.05,36
Mg1B1.8Be0.2,36
Mg0.99Pb0.01B2,35.9
Mg0.93Al0.07B2,35.8
Mg1B1.924C0.076,35.78
Mg0.994Fe0.006B2,35.6
Mg0.94Li0.06B1.96C0.04,35.6
Mg1B1.904C0.096,35.5
Mg0.98Pb0.02B2,35.5
Mg0.89Li0.11B2,35.3
Mg0.98Cr0.02B2,35.3
Mg0.86Al0.14B2,35.1
Mg0.97Cr0.03B2,35.1
Nd1.3Ba1.3Sr0.4O6.828,35
Mg1B1.896C0.104,35
Mg0.94Pb0.06B2,35
Mg0.815Al0.024B2,35
Mg0.91Al0.09B2,34.7
Mg0.978Al0.022B2,34.7
Mg0.99Fe0.01B2,34.7
Mg0.9Co0.1B2,34.5
Mg0.9Al0.1B2,34.3
Mg0.75Co0.25B2,34
Mg0.9Pb0.1B2,34
Mg0.8Li0.2B2,34
Mg0.8Zn0.1Al0.1B2,34
Mg0.9Fe0.1B2,34
Mg0.956Al0.044B2,34
Ba0.5K0.5Bi1O3,34
Mg1B1.89C0.11,33.85
Mg0.75Li0.25B2,33.7
Mg0.92Al0.08B2,33.55
Mg0.99Sn0.01B2,33.5
Mg0.988Fe0.012B2,33.45
Mg0.99Mn0.01B2,33.4
Mg1B1.874C0.126,33.3
Mg0.98Ir0.02B2,33.2
Mg1B1.868C0.132,33.15
Rb1Cs2C60,33
Mg1B1.84C0.16,33
Mg0.927Al0.073B1,33
Cs2Rb1C60,33
Mg0.97Fe0.03B2,32.966667
Mg1B1.7Be0.3,32.9
Mg1B1.88C0.12,32.9
Mg1B1.9C0.1,32.843636
Mg0.815Al0.09B2,32.7
Mg0.915Al0.085B2,32.4
Mg0.96Mn0.04B2,32.3
Mg0.815Al0.092B2,32
Mg0.75Fe0.25B2,32
Mg1B1.834C0.166,32
Mg0.8Al0.1Li0.1B2,31.95
Mg0.7Li0.3B2,31.55
Ba0.61K0.39Bi1O3,31.5
Mg0.5Co0.5B2,31.5
Mg0.85Al0.15B2,31.5
Ba0.595K0.405Bi1O3,31.2
Rb2Cs1C60,31.15
Ba0.59K0.41Bi1O3,31
Cs1Rb2C60,31
Mg0.8Li0.1Al0.1B2,31
Mg1B1.826C0.174,30.8
Mg0.81Al0.19B2,30.8
Ba0.613K0.387Bi1O3,30.7
Mg0.65Al0.175Li0.175B2,30.7
Ba0.635K0.365Bi1O3,30.4
Mg1B1.81C0.19,30.335
Mg0.75Al0.25B2,30.2
Mg0.91Li0.09B1.84C0.16,30.15
Mg1B0.9C0.1,30
Mg0.95Mn0.05B2,30
Sr2Ho1Ru0.9Cu0.1O6,30
Mg1B1.96F0.04,30
Ba0.9K0.1Pb1O3,30
Mg0.88Sc0.12B2,30
Ba0.7K0.3Bi1O3,29.9
Mg0.89Li0.11B1.88C0.12,29.9
N4H12Na2Cs1C60,29.6
Ba0.63K0.37Bi1O3,29.585714
Ba0.62K0.38Bi1O3.1,29.5
Mg0.95Fe0.05B2,29.5
Cs1.2Tl2.4C60,29.5
Ba0.7K0.6Bi1O3,29.35
Ba0.644K0.356Bi1O3,29
C60Rb2,29
Cs3Hg3.3C60,29
C60Rb4,29
Ba0.6Rb0.4Bi1O3,29
Ba0.6K0.4Bi1O2.977,29
Ba0.625K0.375Bi1O3,28.966667
Ba0.584K0.416Bi1O3,28.8
Mg0.8Al0.2B2,28.71
Eu1Fe1.4As2P0.6,28.7
Mg0.7Zn0.15Al0.15B2,28.6
Mg0.7Al0.15Li0.15B2,28.55
Ba0.64K0.36Bi1O3,28.5
Mg0.9Li0.1B1.82C0.18,28.5
Ba0.65K0.35Bi1O3,28.2
Ba0.66K0.34Bi1O3,28.1
Mg0.94Ir0.06B2,28.1
Ba0.77K0.23Bi1O3,28
Mg1B1.87C0.13,28
K3N1H3C60,28
Ba0.65K0.35Bi1O2.984,27.9
Ba0.6K0.4Bi1O2.926,27.6
Ba0.575K0.425Bi1O3,27.3
Ba0.665K0.335Bi1O2.985,27.3
Mg1B1.5C0.5,27.25
Mg0.79Al0.21B2,27.1
K1Rb2C60,27
Ba0.6K0.4Bi0.99Pr0.01O3,26.4
Eu1Fe2As1.46P0.54,26
Li0.5Hf1N1Cl1,26
Ba0.525K0.475Bi1O2.917,25.9
Mg0.815Al0.18B2,25.7
Ba0.57K0.43Bi1O2.983,25.6
Mg0.854Au0.146B2,25.6
Mg0.55Al0.225Li0.225B2,25.6
Li0.48C1.6H3.2O0.4Hf1N1Cl1,25.5
Ba0.553K0.447Bi1O3,25.5
Mg1B1.792C0.208,25.5
Rb2K1C60,25.4
Mg0.815Al0.185B2,25.3
Li1Hf1N1Cl1,25.3
Nd1Fe1As0.5P0.5F0.1O0.9,25.2
Eu0.7Na0.3Fe2As1.4P0.6,25.2
Mg0.7Li0.15Al0.15B2,25.1
Mg0.3Hf1N1Cl1,25
Ba0.557K0.443Bi1O3,25
La1Fe0.4Zn0.6As1F0.15O0.85,24.6
Ba0.55K0.45Bi1O3,24.525
Mg0.764Au0.236B2,24.5
Li0.8Fe1.2Se0.47S0.53H1O1,24.2
Li1Hf1N1Br1,24.1
Mg1B0.85C0.15,24
Y1Pd4.2B3C0.3,24
Hf1N1Cl0.7,24
Mg0.71Al0.29B2,24
K2Cs1C60,24
La1Fe0.2Zn0.8As1F0.15O0.85,23.9
Li1Hf1N1Cl0.75Br0.25,23.6
Ba0.6K0.4Bi0.979Pr0.021O3,23.5
Ba1K1Bi1O3,23.3
Nb3Ge1,23.2
Rb2.7Tl2.2C60,23.2
Ba0.542K0.458Bi1O3,23.1
Sr2Y1Ru0.8Cu0.2O6,23
Y1Ni2B2C1,23
Ba1K1Bi1O4,23
Na0.28Hf1N1Cl1,22.9
Ba0.82K0.18Bi0.53Pb0.47,22.8
Li1Hf1N1Cl0.525Br0.475,22.7
Li1Hf0.7Zr0.3N1Cl1,22.6
Y1Pd2B2C1,22.6
K2Rb1C60,22.4
Li1Hf1N1I1,22.2
Ba0.51K0.49Bi1O2.974,22.2
Y1Pd3B3C0.3,22
Na0.18Hf1N1Cl1,22
Ba0.6K0.4Bi0.9Pb0.1O3,21.5
Eu1Fe1.2As2P0.8,21.5
Ba0.57K0.43Bi1O3,21.2
La1Fe1As0.5P0.5F0.05O0.95,21.2
