formula,nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill,Tc
B2Mg0.988Sc0.012,3,1.346666667,1.086706667,0.365361313,0.363038594,0.78,0.546893333,1.058598829,0.72504277,26.69066667,15.391604,14.04133921,6.606757976,34.145,7.824622667,0.95633332,0.747291974,2.666666667,2.670666667,0.471404521,0.469971158,1,1.988,1.08219553,0.586096719,1.57,1.796866667,0.332966465,0.343856824,0.73,1.35456,1.077005881,0.570944234,7.5019,8.076394533,0.716228516,0.320730084,1.7365,5.505754,1.094001361,0.641172299,2,0.004,0.001497753,0.036,41.4
Mg1B2,2,1.215,1.086666667,0.385,0.362981481,0.77,0.02,0.642067283,0.692977801,17.558,15.309,6.747,6.361132604,13.494,0.894333333,0.617382033,0.691439831,2.5,2.666666667,0.5,0.471404521,1,1.333333333,0.673011667,0.562335145,1.675,1.796666667,0.365,0.3441253,0.73,0.923333333,0.669213135,0.554561848,7.9721,8.080733333,0.3259,0.307261467,0.6518,2.983266667,0.692311358,0.623360078,1,0,0,0,39
Mg0.7Be0.3B2,3,1.18,1.037666667,0.31822424,0.321026306,0.77,0.442333333,1.062660096,0.942180438,14.70933333,13.7797,6.824793737,5.830751994,15.293,6.306133333,0.997500526,0.882726062,2.333333333,2.666666667,0.471404521,0.471404521,1,1.8,1.078992208,0.71505122,1.64,1.822666667,0.302103735,0.314959609,0.73,1.203,1.081856929,0.72912413,8.4223,8.248383333,0.690048757,0.449076034,1.6765,4.59973,1.09527463,0.845498115,1,0,0,0,39
Mg0.98Sc0.02B2,3,1.346666667,1.086733333,0.365361313,0.363076662,0.78,0.5426,1.058598829,0.741333152,26.69066667,15.44667333,14.04133921,6.764995541,34.145,7.639926667,0.95633332,0.774257032,2.666666667,2.673333333,0.471404521,0.468994196,1,1.98,1.08219553,0.598057706,1.57,1.797,0.332966465,0.343677659,0.73,1.350933333,1.077005881,0.579266813,7.5019,8.073502,0.716228516,0.329371606,1.7365,5.488256667,1.094001361,0.650264658,2,0.006666667,0.002493766,0.12,39
Mg0.9Cu0.1B2,3,1.236666667,1.076,0.315841029,0.352283976,0.77,0.510666667,1.064850433,0.830081306,32.88733333,16.61703333,22.36794418,10.6590679,52.735,5.1733,0.870775848,0.986327815,5.333333333,2.966666667,4.027681991,1.559558342,9,1.633333333,0.83140252,0.847465433,1.75,1.816333333,0.316333158,0.332410222,0.73,1.296666667,1.081527973,0.664879944,7.8902,8.083406667,0.290211004,0.303798549,0.6518,5.274453333,1.097941167,0.726795445,2,0.333333333,0.112359551,0,38.6
Mg0.99Ti0.01B2,3,1.293333333,1.086166667,0.333299998,0.362376837,0.77,0.5485,1.063020872,0.718325141,27.661,15.38754,15.31304098,6.612222821,37.056,7.861093333,0.942553072,0.742238935,3,2.673333333,0.816496581,0.47604855,2,1.986666667,1.060856947,0.588879378,1.63,1.797433333,0.304740327,0.34329542,0.73,1.354866667,1.081446275,0.570462533,7.590766667,8.078006333,0.601362976,0.314647542,1.4699,5.509239667,1.09545776,0.639277002,2,0.006666667,0.002493766,0.053333333,38.6
Mg0.8Cu0.2B2,3,1.236666667,1.065333333,0.315841029,0.340917716,0.77,0.468,1.064850433,0.908934385,32.88733333,17.92506667,22.36794418,13.54051501,52.735,2.970933333,0.870775848,1.075078227,5.333333333,3.266666667,4.027681991,2.112397269,9,1.466666667,0.83140252,0.931650874,1.75,1.836,0.316333158,0.319056944,0.73,1.233333333,1.081527973,0.72248194,7.8902,8.08608,0.290211004,0.300271902,0.6518,5.016906667,1.097941167,0.782498726,2,0.666666667,0.204081633,0,38.6
Mg1B1.9906C0.0094,3,1.066666667,1.086478667,0.377918275,0.363129876,0.83,0.54832,1.039369126,0.707265566,15.709,15.31276,6.098000328,6.358827007,13.494,8.0640322,1.027649788,0.706822726,3,2.6698,0.816496581,0.476901066,2,1.978066667,1.060856947,0.590512512,1.966666667,1.798264667,0.508876759,0.346427975,1.24,1.345618,1.063902991,0.581576481,9.068166667,8.090015207,1.572746477,0.354756864,3.6141,5.470717327,1.084005764,0.649479544,1,0,0,0,38.5
Mg0.95Zn0.025Al0.025B2,4,1.2975,1.083,0.28665092,0.35892339,0.77,0.54225,1.360006394,0.795000594,31.8695,15.6736,20.29484755,7.810909528,54.569,7.471733333,1.19634406,0.88413687,5,2.758333333,4.062019202,0.966055841,10,1.975,1.105889879,0.733828973,1.6525,1.802,0.259458571,0.338992625,0.73,1.346583333,1.374034575,0.624196146,7.83105,8.081463333,1.234969363,0.377109523,3.4084,5.482118333,1.373549147,0.696886286,2,0.083333333,0.03021148,0,38.5
Mg0.95Ti0.05B2,3,1.293333333,1.084166667,0.333299998,0.35994116,0.77,0.529166667,1.063020872,0.783573141,27.661,15.7017,15.31304098,7.525161162,37.056,6.8988,0.942553072,0.858307368,3,2.7,0.816496581,0.493288286,2,1.933333333,1.060856947,0.653815714,1.63,1.8005,0.304740327,0.339938352,0.73,1.334333333,1.081446275,0.610741149,7.590766667,8.067098333,0.601362976,0.342386059,1.4699,5.418198333,1.09545776,0.680026855,2,0.033333333,0.012345679,0.266666667,38.5
