formula,Tc
Th1Pd3B3C1,21.5
Pu1Co1Ga5,18.5
La0.6Rh4P12,17
Pu1Co0.9Ni0.1Ga5,16.6
Lu0.98La0.02Ni2B2C1,16.2
Lu1Ni2B2C1,15.880667
Lu1Ni1.991Co0.018B2C1,15.6
Pu1Co0.5Rh0.5Ga5,15.5
Lu0.95La0.05Ni2B2C1,15.3
Y0.16Lu0.84Ni2B2C1,15.2
Ho0.15Lu0.85Ni2B2C1,15.1
Lu0.94La0.06Ni2B2C1,15.1
Y0.3Lu0.7Ni2B2C1,15
La0.8Rh4P12,14.9
Y0.2Lu0.8Ni2B2C1,14.68
Th1Pd2B2C1,14.5
Lu1Ni1.97Co0.06B2C1,14
Lu0.93La0.07Ni2B2C1,13.6
Lu0.92La0.08Ni2B2C1,13.6
Pu1Co0.9Fe0.1Ga5,13.5
Ho0.3Lu0.7Ni2B2C1,13.3
Lu0.945Gd0.055Ni2B2C1,13.28
La3Ni2B2N3,13.0325
La3Ni2B2N2.7,12.5
Lu1Ni1.95Co0.1B2C1,12.3
Lu0.75Th0.25Rh4B4,11.93
Lu0.8Dy0.2Ni2B2C1,11.8
Lu0.772Dy0.228Ni2B2C1,11.77
La1Pt1.5Au0.6B2.4C1.2,11
Er0.8Lu0.2Ni2B2C1,10.8
La1Pt1.5Au0.5B2C1,10.65
Lu1Ni1.93Co0.14B2C1,10.5
La1Pt2.1B2.4C1.2,10.35
La1Ru4As12,10.3
Tm1Ni1.99Co0.02B2C1,10.3
La1Pt2B2C1,10.25
Pu1Co0.1Rh0.9Ga5,10.2
La2.95Ce0.05Ni2B2N2.7,10.2
La1Pt1.5Au0.6B2C1,10.2
Lu1Rh4B4,10.093625
Lu1Ru1B2,10.054
Ho0.45Lu0.55Ni2B2C1,10
Pu1Co0.8Fe0.2Ga5,10
Lu1Pd4B1C0.2,10
Lu1Tc2,9.9
Ho0.6Lu0.4Ni2B2C1,9.82
Dy0.2Tm0.8Ni2B2C1,9.75
Lu0.87Gd0.13Ni2B2C1,9.715
Tm1Ni2B2C1,9.659
In1La3,9.61
Cd0.1In0.9La3,9.55
La3In0.9Cd0.1,9.55
Er1Ni1.98Fe0.02B2C1,9.535
Y0.47Er0.53Rh4B4,9.5
Er1Ni2B2C1,9.465833
La3In0.7Al0.3,9.42
La0.9Nd0.1Pt2.1B2.4C1.2,9.4
Y1Th3.4Ru0.6B4,9.4
Ho0.85Y0.15Ni2B2C1,9.3
La3In0.7Ga0.3,9.25
Ga0.3In0.7La3,9.25
Er1Ni0.199Co0.02B2C1,9.2
Tm1Ni1.98Co0.04B2C1,9.2
Y0.28Er0.72Rh4B4,9.05
Er0.97Tm0.3Rh4B4,9.03
Lu1Th3.4Ru0.6B4,9
Dy0.4Tm0.6Ni2B2C1,9
La0.9Pr0.1Pt2.1B2.4C1.2,9
La3Tl1,8.905
Ho0.75Y0.25Ni2B2C1,8.9
Tm1Rh4B4,8.888
Lu0.85Er0.15Ru1B2,8.86
Er0.97Tm0.15Rh4B4,8.86
Ho0.75Lu0.25Ni2B2C1,8.81
Lu1Ni0.91Co0.18B2C1,8.8
Ho0.8Lu0.2Ni2B2C1,8.77
Ho0.95Lu0.05Ni2B2C1,8.77
Ho0.9Lu0.1Ni2B2C1,8.77
Lu0.9Er0.1Ru1B2,8.77
Y0.12Er0.88Rh4B4,8.74
Lu0.9Tm0.1Ru1B2,8.72
Ho0.85Lu0.15Ni2B2C1,8.72
Ho0.7Lu0.3Ni2B2C1,8.72
Tm1Ni1.97Co0.06B2C1,8.7
Yb1Rh1.4Sn4.6,8.6
La3Sc4,8.6
Er0.9Tb0.1Ni2B2C1,8.52
Er1Ni1.94Fe0.06B2C1,8.5
La2.9952Gd0.0048In1,8.5
Pu0.9U0.1Co1Ga5,8.4
Er1Ni1.96Fe0.04B2C1,8.355
H3.63Th1,8.35
Tm1Th3.4Ru0.6B4,8.3
La1Pt4Ge12,8.253333
Er0.79Ho0.21Rh4B4,8.22
Er0.98Gd0.02Rh4B4,8.22
Er1Ni1.98Co0.04B2C1,8.2
La2.98Ce0.02In1,8.2
Ho0.9Dy0.1Ni2B2C1,8.116667
La2Pt3Ge5,8.1
Er0.73Ho0.27Rh4B4,8.06
Er0.97Gd0.03Rh4B4,8.06
H15Th4,8.025
La1Rh4Si2B1,8
Tm1Ni1.96Fe0.04B2C1,7.97
Er1Rh3.6Ir0.4B4,7.95
La1Pt4Ge13,7.92
La2.9889Gd0.0111In1,7.92
Lu2.5Sc2.5Ir4Si10,7.915
Er1Th3.4Ru0.6B4,7.9
Gd0.02In1La2.98,7.9
Ho0.85Dy0.15Ni2B2C1,7.895
Pr1Pt4Ge12,7.876
Lu0.8Er0.2Ru1B2,7.85
La0.7Nd0.3Pt2.1B2.4C1.2,7.84
Yb3Rh4Sn13,7.833333
Pr2Pt3Ge5,7.8
La3In0.8Sn0.2,7.8
In0.8La3Sn0.2,7.8
Er1Rh4B4,7.795
Lu2Ir3Si4.9Ge0.1,7.74
Tm1Ni1.96Co0.08B2C1,7.7
La2.916Pr0.084Tl1,7.7
Lu3.5Sc1.5Ir4Si10,7.665
Lu1Sc4Ir4Si10,7.655
Er0.95Gd0.05Rh4B4,7.61
La1Ru3.5Si2,7.6
La1Os2,7.575
Er1Rh2.4Ir1.6B4,7.56
La2.91Pr0.09Tl1,7.55
Lu0.574Dy0.426Ni2B2C1,7.54
Ho1Ni2B2C1,7.532353
Lu0.9Ho0.1Ru1B2,7.53
Lu0.6Dy0.4Ni2B2C1,7.5
Lu1Ni1.89Co0.22B2C1,7.5
Ho0.97La0.03Ni2B2C1,7.44
Er1Pb2,7.4
