formula,Tc
Gd0.8Th0.2Fe1As1O1,56.5
Gd1Fe1As1H0.1O0.9,55.6
Sm1Fe1As1H0.19O0.81,55.3
Sm1Fe1As1O0.67,55
Sm1Fe1As1O0.85,55
Sm1Fe1As1F0.6O0.6,55
Sm1Fe1As1H0.25O0.75,54.85
Sm1Fe1As1H0.12O0.77,54.2
Ca0.4Nd0.6Fe1As1F1,54
Nd1Fe1As1O0.2,54
Nd1Fe1As1O0.7,53.7
Gd1Fe1As1O0.7,53.6
Sr0.5Sm0.5Fe1As1F1,53.5
Nd1Fe1As1O0.6,53.5
Gd1Fe1As1O0.85,53.5
Sm0.65Th0.35Fe1As1O1,53
Nd1Fe1As1F0.175O0.825,53
Sm1Fe1As1O0.7,52.1
Tb0.8Th0.2Fe1As1O1,52
Sm1Fe1As1H0.34O0.64,51.8
Nd1Fe1As1O0.85,51.45
Sm0.9Th0.1Fe1As1O1,51.4
Sm1Fe1As1H0.3O0.6,51.4
Dy1Fe1As1O0.85,51
Nd1Fe1As1F0.1O0.9,50.525
Tb1Fe1As1F0.1O0.9,50.5
Nd0.8Ba0.2Fe1As1F0.4O0.6,50.03
Sm1Fe1As1H0.22O0.78,50
Pr1Fe1As1F0.225O0.775,50
Ca0.4Pr0.6Fe1As1F1,50
Nd1Fe1As1F0.12O0.88,50
Pr1Fe1As1H0.6O0.6,49.7
Nd1Fe1As1F0.18O0.82,49.666667
Sm1Fe1As1F0.25O0.7,49.6
Ho1Fe1As1O0.85,49.1
Nd1Fe1As1F0.11O0.89,49.05
Ca0.875Pr0.125Fe2As2,49
Sm0.89Th0.11Fe1As1O1,48.9
Gd1Fe1As1F0.2O0.8,48.35
Pr1Fe1As1O0.85,48.2
Ce1Fe1As1H0.22O0.78,48
Ce1Fe1As1H0.21O0.79,48
Nd1Fe1As1F0.06O0.94,47.5
Ca0.88La0.12Fe1As1.8Sb0.2,47.2
Sm0.9U0.1Fe1As1O1,47
Ce1Fe1As1F0.11O0.89,47
Nd1Fe1As1O0.9,46.9
Sm1Fe1As0.95P0.05F0.12O0.88,46.8
Nd1Fe0.98Ru0.02As1F0.11O0.89,46.6
Sm1Fe1As1H0.4O0.6,46.4
Pr1Fe1As1F0.154O0.846,46.4
Pr1Fe1As1O0.7,46.25
Sm0.8U0.2Fe1As1O1,46
Nd1Fe1As1F0.16O0.84,46
Na1Fe2Se2,46
Ce1Fe1As1F0.3O0.7,46
Nd1Fe1As1F0.3O0.7,46
